NAME                                    VERSION                                             TYPE                     
findutils                               1:4.8.0-7.el9                                       rpm                      
flask                                   3.0.0                                               python                   
fontconfig                              2.14.0-2.el9_1                                      rpm                      
fontconfig-devel                        2.14.0-2.el9_1                                      rpm                      
fonts-filesystem                        1:2.0.5-7.el9.1                                     rpm                      
fonts-srpm-macros                       1:2.0.5-7.el9.1                                     rpm                      
foreground-child                        3.2.1                                               npm                      
freetype                                2.10.4-10.el9_5                                     rpm                      
freetype-devel                          2.10.4-10.el9_5                                     rpm                      
fs-minipass                             2.1.0                                               npm                      
fs-minipass                             3.0.3                                               npm                      
gawk                                    5.1.0-6.el9                                         rpm                      
gcc                                     11.5.0-5.el9_5                                      rpm                      
gcc-c++                                 11.5.0-5.el9_5                                      rpm                      
gcc-gfortran                            11.5.0-5.el9_5                                      rpm                      
gcc-plugin-annobin                      11.5.0-5.el9_5                                      rpm                      
gd                                      2.3.2-3.el9                                         rpm                      
gd-devel                                2.3.2-3.el9                                         rpm                      
gdb                                     14.2-4.1.el9_6                                      rpm                      
gdb-gdbserver                           14.2-4.1.el9_6                                      rpm                      
gdb-headless                            14.2-4.1.el9_6                                      rpm                      
gdbm-libs                               1:1.23-1.el9                                        rpm                      
gettext                                 0.21-8.el9                                          rpm                      
gettext-libs                            0.21-8.el9                                          rpm                      
ghc-srpm-macros                         1.5.0-6.el9                                         rpm                      
git                                     2.47.3-1.el9_6                                      rpm                      
git-core                                2.47.3-1.el9_6                                      rpm                      
git-core-doc                            2.47.3-1.el9_6                                      rpm                      
glib2                                   2.68.4-16.el9_6.2                                   rpm                      
glib2-devel                             2.68.4-16.el9_6.2                                   rpm                      
glibc                                   2.34-168.el9_6.23                                   rpm                      
glibc-common                            2.34-168.el9_6.23                                   rpm                      
glibc-devel                             2.34-168.el9_6.23                                   rpm                      
glibc-gconv-extra                       2.34-168.el9_6.23                                   rpm                      
glibc-headers                           2.34-168.el9_6.23                                   rpm                      
glibc-langpack-en                       2.34-168.el9_6.23                                   rpm                      
glibc-locale-source                     2.34-168.el9_6.23                                   rpm                      
glibc-minimal-langpack                  2.34-168.el9_6.23                                   rpm                      
glob                                    10.4.2                                              npm                      
gmp                                     1:6.2.0-13.el9                                      rpm                      
gnupg2                                  2.3.3-4.el9                                         rpm                      
gnutls                                  3.8.3-6.el9_6.2                                     rpm                      
go-srpm-macros                          3.6.0-10.el9_6                                      rpm                      
gobject-introspection                   1.68.0-11.el9                                       rpm                      
gpg                                     1.15.1                                              python                   
gpg-pubkey                              5a6340b3-6229229e                                   rpm                      
gpg-pubkey                              fd431d51-4ae0493b                                   rpm                      
gpgme                                   1.15.1-6.el9                                        rpm                      
graceful-fs                             4.2.11                                              npm                      
graphite2                               1.3.14-9.el9                                        rpm                      
graphite2-devel                         1.3.14-9.el9                                        rpm                      
grep                                    3.6-5.el9                                           rpm                      
groff-base                              1.22.4-10.el9                                       rpm                      
gunicorn                                21.2.0                                              python                   
gzip                                    1.12-1.el9                                          rpm                      
harfbuzz                                2.7.4-10.el9                                        rpm                      
harfbuzz-devel                          2.7.4-10.el9                                        rpm                      
harfbuzz-icu                            2.7.4-10.el9                                        rpm                      
hosted-git-info                         7.0.2                                               npm                      
hostname                                3.23-6.el9                                          rpm                      
http-cache-semantics                    4.1.1                                               npm                      
http-proxy-agent                        7.0.2                                               npm                      
httpd                                   2.4.62-4.el9_6.4                                    rpm                      
httpd-core                              2.4.62-4.el9_6.4                                    rpm                      
httpd-devel                             2.4.62-4.el9_6.4                                    rpm                      
httpd-filesystem                        2.4.62-4.el9_6.4                                    rpm                      
httpd-tools                             2.4.62-4.el9_6.4                                    rpm                      
https-proxy-agent                       7.0.5                                               npm                      
hunspell                                1.7.0-11.el9                                        rpm                      
hunspell-en                             0.20140811.1-20.el9                                 rpm                      
hunspell-en-GB                          0.20140811.1-20.el9                                 rpm                      
hunspell-en-US                          0.20140811.1-20.el9                                 rpm                      
hunspell-filesystem                     1.7.0-11.el9                                        rpm                      
iconv-lite                              0.6.3                                               npm                      
idna                                    2.10                                                python                   
ignore-walk                             6.0.5                                               npm                      
ima-evm-utils                           1.5-3.el9                                           rpm                      
importlib-metadata                      8.7.0                                               python                   
imurmurhash                             0.1.4                                               npm                      
indent-string                           4.0.0                                               npm                      
info                                    6.7-15.el9                                          rpm                      
ini                                     4.1.3                                               npm                      
iniparse                                0.4                                                 python                   
init-package-json                       6.0.3                                               npm                      
ip-address                              9.0.5                                               npm                      
ip-regex                                5.0.0                                               npm                      
iproute                                 6.11.0-1.el9                                        rpm                      
is-cidr                                 5.1.0                                               npm                      
is-fullwidth-code-point                 3.0.0                                               npm                      
is-lambda                               1.0.1                                               npm                      
isexe                                   2.0.0                                               npm                      
isexe                                   3.1.1                                               npm                      
itsdangerous                            2.2.0                                               python                   
jackspeak                               3.4.0                                               npm                      
jbigkit-libs                            2.1-23.el9                                          rpm                      
jinja2                                  3.1.6                                               python                   
jsbn                                    1.1.0                                               npm                      
