NAME                                    VERSION                                             TYPE                     
pip                                     21.3.1                                              python                   
pip                                     24.2                                                python                   
pixman                                  0.40.0-6.el9_3                                      rpm                      
pkgconf                                 1.7.3-10.el9                                        rpm                      
pkgconf-m4                              1.7.3-10.el9                                        rpm                      
pkgconf-pkg-config                      1.7.3-10.el9                                        rpm                      
popt                                    1.18-8.el9                                          rpm                      
postcss-selector-parser                 6.1.0                                               npm                      
proc-log                                3.0.0                                               npm                      
proc-log                                4.2.0                                               npm                      
procps-ng                               3.3.17-14.el9                                       rpm                      
proggy                                  2.0.0                                               npm                      
promise-all-reject-late                 1.0.1                                               npm                      
promise-call-limit                      3.0.1                                               npm                      
promise-inflight                        1.0.1                                               npm                      
promise-retry                           2.0.1                                               npm                      
promzard                                1.0.2                                               npm                      
psmisc                                  23.4-3.el9                                          rpm                      
publicsuffix-list-dafsa                 20210518-3.el9                                      rpm                      
pygobject                               3.40.1                                              python                   
pyinotify                               0.9.6                                               python                   
pyproject-srpm-macros                   1.16.2-1.el9                                        rpm                      
pysocks                                 1.7.1                                               python                   
python-dateutil                         2.8.1                                               python                   
python-srpm-macros                      3.9-54.el9                                          rpm                      
python3                                 3.9.21-2.el9_6.2                                    rpm                      
python3-chardet                         4.0.0-5.el9                                         rpm                      
python3-cloud-what                      1.29.45.1-1.el9_6                                   rpm                      
python3-dateutil                        1:2.8.1-7.el9                                       rpm                      
python3-dbus                            1.2.18-2.el9                                        rpm                      
python3-decorator                       4.4.2-6.el9                                         rpm                      
python3-devel                           3.9.21-2.el9_6.2                                    rpm                      
python3-dnf                             4.14.0-25.el9                                       rpm                      
python3-dnf-plugins-core                4.3.0-20.el9                                        rpm                      
python3-gobject-base                    3.40.1-6.el9                                        rpm                      
python3-gobject-base-noarch             3.40.1-6.el9                                        rpm                      
python3-gpg                             1.15.1-6.el9                                        rpm                      
python3-hawkey                          0.69.0-13.el9                                       rpm                      
python3-idna                            2.10-7.el9_4.1                                      rpm                      
python3-iniparse                        0.4-45.el9                                          rpm                      
python3-inotify                         0.9.6-25.el9                                        rpm                      
python3-libcomps                        0.1.18-1.el9                                        rpm                      
python3-libdnf                          0.69.0-13.el9                                       rpm                      
python3-librepo                         1.14.5-2.el9                                        rpm                      
python3-libs                            3.9.21-2.el9_6.2                                    rpm                      
python3-pip                             21.3.1-1.el9                                        rpm                      
python3-pip-wheel                       21.3.1-1.el9                                        rpm                      
python3-pysocks                         1.7.1-12.el9                                        rpm                      
python3-requests                        2.25.1-10.el9_6                                     rpm                      
python3-rpm                             4.16.1.3-37.el9                                     rpm                      
python3-setuptools                      53.0.0-13.el9_6.1                                   rpm                      
python3-setuptools-wheel                53.0.0-13.el9_6.1                                   rpm                      
python3-six                             1.15.0-9.el9                                        rpm                      
python3-subscription-manager-rhsm       1.29.45.1-1.el9_6                                   rpm                      
python3-systemd                         234-19.el9                                          rpm                      
python3-urllib3                         1.26.5-6.el9                                        rpm                      
qrcode-terminal                         0.12.0                                              npm                      
qt5-srpm-macros                         5.15.9-1.el9                                        rpm                      
read                                    3.0.1                                               npm                      
read-cmd-shim                           4.0.0                                               npm                      
read-package-json-fast                  3.0.2                                               npm                      
readline                                8.1-4.el9                                           rpm                      
redhat-release                          9.6-0.1.el9                                         rpm                      
redhat-rpm-config                       209-1.el9                                           rpm                      
requests                                2.25.1                                              python                   
retry                                   0.12.0                                              npm                      
rootfiles                               8.1-34.el9                                          rpm                      
rpm                                     4.16.1.3                                            python                   
rpm                                     4.16.1.3-37.el9                                     rpm                      
rpm-build-libs                          4.16.1.3-37.el9                                     rpm                      
rpm-libs                                4.16.1.3-37.el9                                     rpm                      
rpm-sign-libs                           4.16.1.3-37.el9                                     rpm                      
rsync                                   3.2.5-3.el9                                         rpm                      
rust-srpm-macros                        17-4.el9                                            rpm                      
safer-buffer                            2.1.2                                               npm                      
scl-utils                               1:2.0.3-4.el9                                       rpm                      
sed                                     4.8-9.el9                                           rpm                      
semver                                  7.6.2                                               npm                      
setup                                   2.13.7-10.el9                                       rpm                      
setuptools                              53.0.0                                              python  (+1 duplicate)   
shadow-utils                            2:4.9-12.el9                                        rpm                      
shebang-command                         2.0.0                                               npm                      
shebang-regex                           3.0.0                                               npm                      
signal-exit                             4.1.0                                               npm                      
sigstore                                2.3.1                                               npm                      
six                                     1.15.0                                              python                   
smart-buffer                            4.2.0                                               npm                      
socks                                   2.8.3                                               npm                      
socks-proxy-agent                       8.0.4                                               npm                      
source-highlight                        3.1.9-12.el9                                        rpm                      
spdx-correct                            3.2.0                                               npm                      
spdx-exceptions                         2.5.0                                               npm                      
spdx-expression-parse                   3.0.1                                               npm     (+1 duplicate)   
spdx-expression-parse                   4.0.0                                               npm                      
spdx-license-ids                        3.0.18                                              npm                      
sprintf-js                              1.1.3                                               npm                      
sqlite                                  3.34.1-8.el9_6                                      rpm                      
sqlite-devel                            3.34.1-8.el9_6                                      rpm                      
sqlite-libs                             3.34.1-8.el9_6                                      rpm                      
sscg                                    3.0.0-7.el9                                         rpm                      
ssri                                    10.0.6                                              npm                      
string-width                            4.2.3                                               npm     (+1 duplicate)   
string-width                            5.1.2                                               npm     (+1 duplicate)   
strip-ansi                              6.0.1                                               npm     (+1 duplicate)   
strip-ansi                              7.1.0                                               npm     (+1 duplicate)   
subscription-manager                    1.29.45.1                                           python                   
subscription-manager                    1.29.45.1-1.el9_6                                   rpm                      
subscription-manager-rhsm-certificates  20220623-1.el9                                      rpm                      
supports-color                          9.4.0                                               npm                      
sysprof-capture-devel                   3.40.1-3.el9                                        rpm                      
systemd                                 252-51.el9_6.2                                      rpm                      
systemd-libs                            252-51.el9_6.2                                      rpm                      
systemd-pam                             252-51.el9_6.2                                      rpm                      
systemd-python                          234                                                 python                   
systemd-rpm-macros                      252-51.el9_6.2                                      rpm                      
tar                                     2:1.34-7.el9                                        rpm                      
tar                                     6.2.1                                               npm                      
tcl                                     1:8.6.10-7.el9                                      rpm                      
text-table                              0.2.0                                               npm                      
tiny-relative-date                      1.3.0                                               npm                      
tpm2-tss                                3.2.3-1.el9                                         rpm                      
treeverse                               3.0.0                                               npm                      
tuf-js                                  2.2.1                                               npm                      
tzdata                                  2025b-1.el9                                         rpm                      
unique-filename                         3.0.0                                               npm                      
unique-slug                             4.0.0                                               npm                      
unzip                                   6.0-58.el9_5                                        rpm                      
urllib3                                 1.26.5                                              python                   
usermode                                1.114-6.el9                                         rpm                      
util-deprecate                          1.0.2                                               npm                      
util-linux                              2.37.4-21.el9                                       rpm                      
util-linux-core                         2.37.4-21.el9                                       rpm                      
validate-npm-package-license            3.0.4                                               npm                      
validate-npm-package-name               5.0.1                                               npm                      
vim-filesystem                          2:8.2.2637-22.el9_6.1                               rpm                      
vim-minimal                             2:8.2.2637-22.el9_6.1                               rpm                      
virt-what                               1.27-1.el9                                          rpm                      
walk-up-path                            3.0.1                                               npm                      
werkzeug                                3.0.1                                               python                   
wget                                    1.21.1-8.el9_4                                      rpm                      
which                                   2.0.2                                               npm                      
which                                   2.21-30.el9_6                                       rpm                      
which                                   4.0.0                                               npm                      
wrap-ansi                               7.0.0                                               npm                      
wrap-ansi                               8.1.0                                               npm                      
write-file-atomic                       5.0.1                                               npm                      
xml-common                              0.6.3-58.el9                                        rpm                      
xorg-x11-proto-devel                    2024.1-1.el9                                        rpm                      
xz                                      5.2.5-8.el9_0                                       rpm                      
xz-devel                                5.2.5-8.el9_0                                       rpm                      
xz-libs                                 5.2.5-8.el9_0                                       rpm                      
yallist                                 4.0.0                                               npm                      
yum                                     4.14.0-25.el9                                       rpm                      
zip                                     3.0-35.el9                                          rpm                      
zipp                                    3.23.0                                              python                   
zlib                                    1.2.11-40.el9                                       rpm                      
zlib-devel                              1.2.11-40.el9                                       rpm
